Rank,Player,PPG
1.,Michael Jordan*,30.12
2.,Wilt Chamberlain*,30.07
3.,Luka DonÄiÄ,28.65
4.,Joel Embiid,27.78
5.,Elgin Baylor*,27.36
6.,Kevin Durant,27.26
7.,LeBron James,27.06
8.,Jerry West*,27.03
9.,Allen Iverson*,26.66
10.,Bob Pettit*,26.36
11.,Oscar Robertson*,25.68
12.,Trae Young,25.26
13.,Damian Lillard,25.11
14.,George Gervin*,25.09
15.,Karl Malone*,25.02
16.,Kobe Bryant*,24.99
17.,Dominique Wilkins*,24.83
18.,Rick Barry*,24.78
19.,Donovan Mitchell,24.69
20.,Stephen Curry,24.69
21.,Kareem Abdul-Jabbar*,24.61
22.,Devin Booker,24.32
23.,Larry Bird*,24.29
24.,Adrian Dantley*,24.27
25.,Pete Maravich*,24.24
26.,Julius Erving*,24.16
27.,Anthony Davis,24.15
28.,James Harden,24.06
29.,Shaquille O'Neal*,23.69
30.,Giannis Antetokounmpo,23.66
31.,Kyrie Irving,23.62
32.,Shai Gilgeous-Alexander,23.58
33.,Jayson Tatum,23.4
34.,George Mikan*,23.13
35.,Karl-Anthony Towns,23.04
36.,Paul Arizin*,22.81
37.,David Thompson*,22.67
38.,Dan Issel*,22.56
39.,Bernard King*,22.49
40.,Carmelo Anthony,22.45
41.,Charles Barkley*,22.14
42.,Bob McAdoo*,22.05
43.,Dwyane Wade*,21.98
44.,Geoff Petrie,21.82
45.,Hakeem Olajuwon*,21.77
46.,Bradley Beal,21.72
47.,De'Aaron Fox,21.57
48.,Alex English*,21.47
49.,Nikola JokiÄ,21.43
50.,Russell Westbrook,21.43
51.,DeMar DeRozan,21.24
52.,Billy Cunningham*,21.18
53.,David Robinson*,21.06
54.,Mitch Richmond*,21.0
55.,Patrick Ewing*,20.98
56.,Elvin Hayes*,20.96
57.,John Havlicek*,20.78
58.,Dirk Nowitzki*,20.74
59.,Charlie Scott*,20.69
60.,John Drew,20.69
61.,Glenn Robinson,20.69
62.,John Brisker,20.69
63.,Paul George,20.68
64.,Chris Webber*,20.68
65.,Gilbert Arenas,20.66
66.,Zach LaVine,20.63
67.,Clyde Drexler*,20.44
